name,subject,id,population,county
Адыгейск,Адыгея,1,13175,Южный
Майкоп,Адыгея,2,143385,Южный
Горно-Алтайск,Алтай,1,65342,Сибирский
Алейск,Алтайский край,1,25380,Сибирский
Барнаул,Алтайский край,2,630877,Сибирский
Белокуриха,Алтайский край,3,14735,Сибирский
Бийск,Алтайский край,4,183852,Сибирский
Горняк,Алтайский край,5,10112,Сибирский
Заринск,Алтайский край,6,41272,Сибирский
Змеиногорск,Алтайский край,7,9410,Сибирский
Камень-на-Оби,Алтайский край,8,32385,Сибирский
Новоалтайск,Алтайский край,9,73049,Сибирский
Рубцовск,Алтайский край,10,126834,Сибирский
Славгород,Алтайский край,11,27900,Сибирский
Яровое,Алтайский край,12,16424,Сибирский
Белогорск,Амурская область,1,61440,Дальневосточный
Благовещенск,Амурская область,2,241437,Дальневосточный
Завитинск,Амурская область,3,9615,Дальневосточный
Зея,Амурская область,4,19414,Дальневосточный
Райчихинск,Амурская область,5,15797,Дальневосточный
Свободный,Амурская область,6,48517,Дальневосточный
Сковородино,Амурская область,7,7057,Дальневосточный
Тында,Амурская область,8,28625,Дальневосточный
Циолковский,Амурская область,9,7194,Дальневосточный
Шимановск,Амурская область,10,16488,Дальневосточный
Архангельск,Архангельская область,1,301199,Северо-Западный
Вельск,Архангельская область,2,21613,Северо-Западный
Каргополь,Архангельская область,3,8849,Северо-Западный
Коряжма,Архангельская область,4,34523,Северо-Западный
Котлас,Архангельская область,5,56093,Северо-Западный
Мезень,Архангельская область,6,2874,Северо-Западный
Мирный,Архангельская область,7,27262,Северо-Западный
Новодвинск,Архангельская область,8,33294,Северо-Западный
Няндома,Архангельская область,9,18473,Северо-Западный
Онега,Архангельская область,10,16947,Северо-Западный
Северодвинск,Архангельская область,11,157213,Северо-Западный
Сольвычегодск,Архангельская область,12,1952,Северо-Западный
Шенкурск,Архангельская область,13,4600,Северо-Западный
Астрахань,Астраханская область,1,475629,Южный
Ахтубинск,Астраханская область,2,35635,Южный
Знаменск,Астраханская область,3,24628,Южный
Камызяк,Астраханская область,4,16154,Южный
Нариманов,Астраханская область,5,11104,Южный
Харабали,Астраханская область,6,18514,Южный
Агидель,Башкортостан,1,14219,Приволжский
Баймак,Башкортостан,2,17833,Приволжский
Белебей,Башкортостан,3,59195,Приволжский
Белорецк,Башкортостан,4,64525,Приволжский
Бирск,Башкортостан,5,44295,Приволжский
Благовещенск,Башкортостан,6,35481,Приволжский
Давлеканово,Башкортостан,7,21834,Приволжский
Дюртюли,Башкортостан,8,31185,Приволжский
Ишимбай,Башкортостан,9,64041,Приволжский
Кумертау,Башкортостан,10,57949,Приволжский
Межгорье,Башкортостан,11,15697,Приволжский
Мелеуз,Башкортостан,12,56505,Приволжский
Нефтекамск,Башкортостан,13,131942,Приволжский
Октябрьский,Башкортостан,14,115557,Приволжский
Салават,Башкортостан,15,148575,Приволжский
Сибай,Башкортостан,16,56514,Приволжский
Стерлитамак,Башкортостан,17,277410,Приволжский
Туймазы,Башкортостан,18,68349,Приволжский
Уфа,Башкортостан,19,1144809,Приволжский
Учалы,Башкортостан,20,36175,Приволжский
Янаул,Башкортостан,21,25908,Приволжский
Алексеевка,Белгородская область,1,36578,Центральный
Белгород,Белгородская область,2,339978,Центральный
Бирюч,Белгородская область,3,7114,Центральный
Валуйки,Белгородская область,4,33032,Центральный
Грайворон,Белгородская область,5,6179,Центральный
Губкин,Белгородская область,6,85225,Центральный
