id,name
1,Адыгея
2,Башкортостан
3,Бурятия
4,Алтай
5,Дагестан
6,Ингушетия
7,Кабардино-Балкария
8,Калмыкия
9,Карачаево-Черкесия
10,Карелия
11,Коми
12,Марий Эл
13,Мордовия
14,Якутия
15,Северная Осетия
16,Татарстан
17,Тыва
18,Удмуртия
19,Хакасия
20,Чечня
21,Чувашия
22,Алтайский край
23,Краснодарский край
24,Красноярский край
25,Приморский край
26,Ставропольский край
27,Хабаровский край
28,Амурская область
29,Архангельская область
30,Астраханская область
31,Белгородская область
32,Брянская область
33,Владимирская область
34,Волгоградская область
35,Вологодская область
36,Воронежская область
37,Ивановская область
38,Иркутская область
39,Калининградская область
40,Калужская область
41,Камчатский край
42,Кемеровская область
43,Кировская область
44,Костромская область
45,Курганская область
46,Курская область
47,Ленинградская область
48,Липецкая область
49,Магаданская область
50,Московская область
51,Мурманская область
52,Нижегородская область
53,Новгородская область
54,Новосибирская область
55,Омская область
56,Оренбургская область
57,Орловская область
58,Пензенская область
59,Пермский край
60,Псковская область
61,Ростовская область
62,Рязанская область
63,Самарская область
64,Саратовская область
65,Сахалинская область
66,Свердловская область
67,Смоленская область
68,Тамбовская область
69,Тверская область
70,Томская область
71,Тульская область
72,Тюменская область
73,Ульяновская область
74,Челябинская область
75,Забайкальский край
76,Ярославская область
77,Москва
78,Санкт-Петербург
79,Еврейская АО
83,Ненецкий АО
86,Ханты-Мансийский АО
87,Чукотский АО
89,Ямало-Ненецкий АО
90,Запорожская область
91,Крым
92,Севастополь
93,ДНР
94,ЛНР
95,Херсонская область
99,Байконур
